file_name,bend_ratio,velocity,density,size,stokes,max_erosion,avg_erosion_s01
1453.csv,1.5,18,30000,150,26.495317198012263,413.5235400907716,53.13524941856213
1454.csv,1.5,18,30000,200,47.102786129799576,486.64267968056794,63.179379848893454
1455.csv,1.5,18,30000,300,105.98126879204905,552.2446700507614,72.06512717791058
1456.csv,1.5,18,30000,500,294.39241331124737,608.0015646258504,79.58699198299132
1511.csv,1.5,20,2000,50,0.21806845430462765,129.3899699999999,0.34885000605464284
1512.csv,1.5,20,2000,100,0.8722738172185106,125.18606599999994,1.3414919329458583
1513.csv,1.5,20,2000,150,1.962616088741649,125.18606599999994,2.545905174179687
1514.csv,1.5,20,2000,200,3.4890952688740424,112.5710699999999,3.893100289433426
1515.csv,1.5,20,2000,300,7.850464354966596,117.60215147058823,5.925730133783354
1516.csv,1.5,20,2000,500,21.80684543046277,202.8898181818181,9.424219516863545
1521.csv,1.5,20,5000,50,0.5451711357615692,221.22291999999993,2.5474410620312273
1522.csv,1.5,20,5000,100,2.1806845430462767,221.22291999999993,6.147965965997724
1523.csv,1.5,20,5000,150,4.906540221854122,169.03363,10.433173343265157
1524.csv,1.5,20,5000,200,8.722738172185107,220.54365853658527,15.05098472896409
1525.csv,1.5,20,5000,300,19.62616088741649,243.27112804878047,21.857549729268452
1526.csv,1.5,20,5000,500,54.51711357615692,230.72896021699822,31.854808895600257
1531.csv,1.5,20,10000,50,1.0903422715231383,213.53588999999997,6.565294867938956
1532.csv,1.5,20,10000,100,4.361369086092553,189.50775362318834,15.167362297258025
1533.csv,1.5,20,10000,150,9.813080443708245,240.74589855072463,24.78597707939564
1534.csv,1.5,20,10000,200,17.445476344370213,233.9939603960396,33.907083014430235
1535.csv,1.5,20,10000,300,39.25232177483298,345.7172687224669,44.957951068412555
1536.csv,1.5,20,10000,500,109.03422715231385,453.65640373197624,57.53494543809676
1541.csv,1.5,20,15000,50,1.6355134072847073,124.56296428571423,11.217046445467107
1542.csv,1.5,20,15000,100,6.542053629138829,266.3879199999999,25.21146395502361
1543.csv,1.5,20,15000,150,14.719620665562365,269.50480127185995,38.653417739136174
1544.csv,1.5,20,15000,200,26.168214516555317,380.1979319371727,50.13506021905758
1545.csv,1.5,20,15000,300,58.87848266224946,499.1626893939394,62.40873598143769
1546.csv,1.5,20,15000,500,163.55134072847076,565.8367000771009,74.63864767017768
1551.csv,1.5,20,30000,50,3.2710268145694146,283.5546849315068,28.27325897233005
1552.csv,1.5,20,30000,100,13.084107258277658,393.60400966183573,53.0433356305359
1553.csv,1.5,20,30000,150,29.43924133112473,553.3581120943952,70.57095802063921
1554.csv,1.5,20,30000,200,52.33642903311063,640.2976073619633,83.3694296385968
1555.csv,1.5,20,30000,300,117.75696532449892,683.4040927694407,94.54984723720193
1556.csv,1.5,20,30000,500,327.1026814569415,771.7005967180506,103.89082334051497
2111.csv,2.0,5,2000,50,0.05451711357615691,2.5371944999999982,7.826471736061692e-05
2112.csv,2.0,5,2000,100,0.21806845430462765,4.552328599999997,0.00025278974609938747
2113.csv,2.0,5,2000,150,0.49065402218541226,4.552328599999997,0.001226484076034604
2114.csv,2.0,5,2000,200,0.8722738172185106,6.920983999999996,0.004264517912239716
2115.csv,2.0,5,2000,300,1.962616088741649,5.014269399999996,0.013394033981597456
2116.csv,2.0,5,2000,500,5.451711357615692,5.014269399999996,0.04317616715779938
2121.csv,2.0,5,5000,50,0.1362927839403923,4.469259299999999,0.00041121627300739875
2122.csv,2.0,5,5000,100,0.5451711357615692,5.165431499999997,0.004873698870418969
2123.csv,2.0,5,5000,150,1.2266350554635306,5.165431499999997,0.01948471545273934
2124.csv,2.0,5,5000,200,2.1806845430462767,5.313214285714284,0.04773529468163046
